id,cliente_id,valor,data_transacao
3120,533,5.0,2021-01-28T20:46:47.000-03:00
3119,533,25.0,2021-01-28T20:46:47.000-03:00
3108,533,5.0,2021-01-28T10:47:37.000-03:00
3107,533,12.5,2021-01-28T10:47:36.000-03:00
3106,533,12.5,2021-01-28T10:47:36.000-03:00
3092,533,25.0,2021-01-28T10:02:57.000-03:00
3091,533,5.0,2021-01-28T10:02:57.000-03:00
3079,533,25.0,2021-01-23T09:44:31.000-03:00
3078,533,5.0,2021-01-23T09:44:30.000-03:00
3069,574,20.0,2021-01-22T21:29:52.000-03:00
3066,74,7.8,2021-01-21T21:11:14.000-03:00
3061,74,3.82,2021-01-20T20:05:16.000-03:00
3060,4,5.58,2021-01-20T20:05:16.000-03:00
3046,370,50.0,2021-01-20T16:07:00.000-03:00
3030,570,20.0,2021-01-15T12:53:40.000-03:00
3009,74,5.0,2021-01-14T08:04:03.000-03:00
3008,74,12.5,2021-01-14T08:04:03.000-03:00
3007,533,12.5,2021-01-14T08:04:03.000-03:00
3000,370,50.0,2021-01-13T19:12:34.000-03:00
2995,570,20.0,2021-01-13T11:22:24.000-03:00
2987,74,14.5,2021-01-08T21:17:23.000-03:00
2986,74,25.0,2021-01-08T20:37:22.000-03:00
2985,74,5.0,2021-01-08T20:37:22.000-03:00
2978,74,2.5,2021-01-08T20:05:53.000-03:00
2977,533,2.5,2021-01-08T20:05:53.000-03:00
2967,73,5.0,2021-01-08T19:39:27.000-03:00
2966,73,25.0,2021-01-08T19:39:27.000-03:00
2956,74,17.82,2021-01-07T23:10:03.000-03:00
2949,74,5.0,2021-01-06T19:37:17.000-03:00
2944,569,30.0,2021-01-06T18:05:22.000-03:00
2943,370,50.0,2021-01-06T16:47:15.000-03:00
2935,533,5.0,2021-01-03T14:42:00.000-03:00
2934,73,25.0,2021-01-03T14:42:00.000-03:00
2921,4,1.0,2020-12-30T10:57:39.000-03:00
2903,73,25.0,2020-12-29T20:07:14.000-03:00
2881,370,50.0,2020-12-28T11:03:02.000-03:00
2866,533,4.72,2020-12-25T18:10:17.000-03:00
2865,74,0.17,2020-12-25T18:10:17.000-03:00
2853,74,5.0,2020-12-23T23:08:27.000-03:00
2852,74,12.5,2020-12-23T23:08:26.000-03:00
2844,73,25.0,2020-12-23T21:20:36.000-03:00
2833,534,10.0,2020-12-23T17:57:43.000-03:00
2825,73,25.0,2020-12-22T22:33:27.000-03:00
2824,74,5.0,2020-12-22T22:33:27.000-03:00
2813,73,10.0,2020-12-22T22:10:45.000-03:00
2749,73,50.0,2020-12-21T21:57:46.000-03:00
2748,73,10.0,2020-12-21T21:57:46.000-03:00
2737,533,10.0,2020-12-21T21:33:40.000-03:00
2736,533,16.67,2020-12-21T21:33:39.000-03:00
2717,370,50.0,2020-12-21T10:42:32.000-03:00
2702,74,20.0,2020-12-19T15:20:55.000-03:00
2693,533,10.0,2020-12-18T23:35:03.000-03:00
2690,534,15.0,2020-12-18T23:13:15.000-03:00
2677,523,10.0,2020-12-18T22:42:21.000-03:00
2661,73,12.5,2020-12-18T22:08:59.000-03:00
2660,73,12.5,2020-12-18T22:08:59.000-03:00
2659,73,10.0,2020-12-18T22:08:59.000-03:00
2649,73,10.0,2020-12-18T21:42:37.000-03:00
2648,73,50.0,2020-12-18T21:42:37.000-03:00
2634,73,10.0,2020-12-18T21:20:54.000-03:00
2628,73,25.0,2020-12-18T20:33:03.000-03:00
2627,74,10.0,2020-12-18T20:33:02.000-03:00
2621,74,10.0,2020-12-18T20:06:55.000-03:00
2614,533,10.0,2020-12-18T19:41:18.000-03:00
2613,74,16.67,2020-12-18T19:41:18.000-03:00
2612,73,16.67,2020-12-18T19:41:18.000-03:00
2611,73,16.67,2020-12-18T19:41:18.000-03:00
2601,533,1.0,2020-12-18T17:48:50.000-03:00
2598,533,50.0,2020-12-18T17:45:25.000-03:00
2596,533,38.0,2020-12-18T17:43:55.000-03:00
2593,73,20.0,2020-12-18T15:10:29.000-03:00
2584,530,1.02,2020-12-18T00:08:00.000-03:00
2582,73,10.0,2020-12-17T23:00:37.000-03:00
2580,73,102.0,2020-12-17T22:47:38.000-03:00
2579,73,102.0,2020-12-17T22:47:06.000-03:00
2561,523,5.0,2020-12-17T22:07:15.000-03:00
2548,73,12.5,2020-12-17T21:35:00.000-03:00
2539,523,25.0,2020-12-17T20:39:10.000-03:00
2526,523,10.0,2020-12-16T23:23:24.000-03:00
2514,74,10.0,2020-12-16T21:33:05.000-03:00
2496,529,10.0,2020-12-15T21:29:13.000-03:00
2492,530,20.0,2020-12-15T19:31:47.000-03:00
2482,523,10.0,2020-12-14T22:29:33.000-03:00
2469,523,10.0,2020-12-14T20:11:35.000-03:00
2461,529,50.0,2020-12-13T15:10:15.000-03:00
2451,73,10.0,2020-12-12T22:25:21.000-03:00
2441,73,25.0,2020-12-12T21:53:33.000-03:00
2432,73,10.0,2020-12-12T21:18:11.000-03:00
2421,73,50.0,2020-12-12T20:51:07.000-03:00
2420,74,3.33,2020-12-12T20:51:07.000-03:00
2419,73,3.33,2020-12-12T20:51:07.000-03:00
2418,73,3.33,2020-12-12T20:51:07.000-03:00
2402,73,10.0,2020-12-12T20:29:33.000-03:00
2390,73,10.0,2020-12-12T20:05:24.000-03:00
2389,73,16.67,2020-12-12T20:05:24.000-03:00
2388,73,16.67,2020-12-12T20:05:24.000-03:00
2378,73,10.0,2020-12-12T19:41:10.000-03:00
2366,73,10.0,2020-12-12T19:10:37.000-03:00
2357,74,50.0,2020-12-12T12:41:34.000-03:00
2356,74,10.0,2020-12-12T12:41:34.000-03:00
2353,74,50.0,2020-12-12T12:22:25.000-03:00
2352,74,10.0,2020-12-12T12:22:25.000-03:00
2346,74,10.0,2020-12-12T11:56:14.000-03:00
2345,74,50.0,2020-12-12T11:56:14.000-03:00
2339,523,10.0,2020-12-11T23:15:33.000-03:00
2338,523,50.0,2020-12-11T23:15:32.000-03:00
2330,74,10.0,2020-12-11T22:53:00.000-03:00
2323,73,10.0,2020-12-11T22:20:32.000-03:00
2313,73,10.0,2020-12-11T21:56:47.000-03:00
2292,73,10.0,2020-12-11T21:22:49.000-03:00
2291,74,16.67,2020-12-11T21:22:49.000-03:00
2290,73,16.67,2020-12-11T21:22:49.000-03:00
2276,73,10.0,2020-12-11T20:59:49.000-03:00
2259,73,10.0,2020-12-11T20:30:33.000-03:00
2258,73,50.0,2020-12-11T20:30:33.000-03:00
2241,73,10.0,2020-12-11T20:08:25.000-03:00
2228,74,10.0,2020-12-11T19:23:56.000-03:00
2227,74,50.0,2020-12-11T19:23:56.000-03:00
2210,370,50.0,2020-12-11T10:12:38.000-03:00
2208,74,50.0,2020-12-10T23:51:13.000-03:00
2207,74,10.0,2020-12-10T23:51:13.000-03:00
2199,73,50.0,2020-12-10T23:14:58.000-03:00
2198,73,5.0,2020-12-10T23:14:58.000-03:00
2197,73,5.0,2020-12-10T23:14:58.000-03:00
2163,523,12.5,2020-12-10T21:33:10.000-03:00
2155,73,10.0,2020-12-10T20:57:53.000-03:00
2152,73,25.0,2020-12-10T20:25:54.000-03:00
2151,73,25.0,2020-12-10T20:25:54.000-03:00
2150,74,10.0,2020-12-10T20:25:54.000-03:00
2135,74,9.34,2020-12-10T12:23:59.000-03:00
2134,522,20.0,2020-12-10T07:20:14.000-03:00
2133,73,828.95,2020-12-09T23:29:27.000-03:00
2132,73,240.79,2020-12-09T23:29:27.000-03:00
2131,74,10.0,2020-12-09T23:07:18.000-03:00
2118,73,10.0,2020-12-09T21:59:11.000-03:00
2117,74,50.0,2020-12-09T21:59:11.000-03:00
2105,523,10.0,2020-12-09T21:25:16.000-03:00
2099,522,20.0,2020-12-09T20:23:19.000-03:00
2087,74,10.0,2020-12-09T19:11:16.000-03:00
2086,74,50.0,2020-12-09T19:11:16.000-03:00
2077,74,10.0,2020-12-09T18:36:39.000-03:00
2069,74,16.67,2020-12-09T18:07:24.000-03:00
2068,74,16.67,2020-12-09T18:07:24.000-03:00
2067,74,5.0,2020-12-09T18:07:24.000-03:00
2057,523,20.0,2020-12-08T23:37:12.000-03:00
2047,73,20.0,2020-12-08T23:07:02.000-03:00
2039,74,100.0,2020-12-08T22:36:38.000-03:00
2031,74,20.0,2020-12-08T22:07:18.000-03:00
2015,523,10.0,2020-12-08T21:08:01.000-03:00
2006,523,50.0,2020-12-08T20:37:58.000-03:00
2005,74,20.0,2020-12-08T20:37:58.000-03:00
1997,74,50.0,2020-12-08T20:07:37.000-03:00
1989,74,100.0,2020-12-08T19:36:39.000-03:00
1978,523,10.0,2020-12-08T19:07:03.000-03:00
1957,523,550.0,2020-12-08T17:38:54.000-03:00
1951,73,14.9,2020-12-08T13:35:01.000-03:00
1940,73,50.0,2020-12-06T20:31:02.000-03:00
1939,73,20.0,2020-12-06T20:30:52.000-03:00
1938,73,10.0,2020-12-06T20:30:41.000-03:00
1937,73,5.0,2020-12-06T20:30:28.000-03:00
1934,522,50.0,2020-12-06T09:55:35.000-03:00
1925,74,5.5,2020-12-05T12:08:25.000-03:00
1811,515,8.21,2020-12-01T18:24:29.000-03:00
1810,370,50.0,2020-12-01T18:23:19.000-03:00
1808,515,22.0,2020-12-01T18:22:56.000-03:00
1804,73,200.0,2020-12-01T17:59:26.000-03:00
1802,515,50.0,2020-12-01T17:56:33.000-03:00
1799,515,100.0,2020-12-01T16:56:42.000-03:00
1794,74,100.0,2020-12-01T10:11:09.000-03:00
1758,73,209.18,2020-11-30T00:12:42.000-03:00
1706,2,100.0,2020-11-29T20:33:49.000-03:00
1694,515,11.17,2020-11-29T13:46:50.000-03:00
1692,515,200.0,2020-11-29T12:15:48.000-03:00
1687,515,19.38,2020-11-28T23:17:22.000-03:00
1684,515,250.0,2020-11-28T18:28:14.000-03:00
1682,431,1100.0,2020-11-28T17:31:06.000-03:00
1680,515,129.0,2020-11-28T16:53:13.000-03:00
1677,515,1000.0,2020-11-28T16:39:39.000-03:00
1653,2,1.0,2020-11-27T18:27:07.000-03:00
1652,2,1.0,2020-11-27T18:26:58.000-03:00
1651,2,1.0,2020-11-27T18:26:48.000-03:00
1650,2,1.0,2020-11-27T18:26:38.000-03:00
1649,2,1.0,2020-11-27T18:26:26.000-03:00
1648,2,1.0,2020-11-27T18:26:15.000-03:00
1647,2,1.0,2020-11-27T18:26:02.000-03:00
1646,2,1.0,2020-11-27T18:25:50.000-03:00
1642,74,1.0,2020-11-27T16:55:04.000-03:00
1639,2,100.0,2020-11-27T14:04:26.000-03:00
1627,515,190.0,2020-11-26T16:48:26.000-03:00
1599,515,100.4,2020-11-25T21:10:08.000-03:00
1590,4,19.0,2020-11-25T10:19:10.000-03:00
1589,4,1000.0,2020-11-25T10:18:59.000-03:00
1588,4,1.0,2020-11-25T10:18:49.000-03:00
1587,4,1000.0,2020-11-25T10:18:24.000-03:00
1586,4,100.0,2020-11-25T10:18:14.000-03:00
1585,4,100.0,2020-11-25T10:18:05.000-03:00
1584,4,100.0,2020-11-25T10:17:55.000-03:00
1583,4,10.0,2020-11-25T10:17:46.000-03:00
1582,4,1.0,2020-11-25T10:17:22.000-03:00
1581,4,1.0,2020-11-25T10:16:55.000-03:00
1580,4,1.0,2020-11-25T10:16:51.000-03:00
1579,4,1.0,2020-11-25T10:16:32.000-03:00
4861,695,50.0,2021-08-08T14:49:47.000-03:00
4850,695,50.0,2021-08-02T18:18:21.000-03:00
4831,205,22.38,2021-07-29T21:54:31.000-03:00
4813,719,100.0,2021-07-29T01:32:09.000-03:00
4812,205,27.9,2021-07-28T23:28:39.000-03:00
4811,205,53.78,2021-07-28T23:08:44.000-03:00
